Fototeny,sampateny
antoka,"anantohana, manantoka"
antoke,"aantoke, mahaantoke, mamantoke, mampiantoke, miantoke, mifampiantoke, mihamiantoke, piantoke, voaantoke"
antomotra,"anantomorana, antomorina, fanantomorana, fanantomotra, manantomotra, miantomotra, mpanantomotra, voantomotra"
antonta,"iantontana, miantonta"
antoraka,miantoraka
antra,"antrantra, fahantrana, fiantra, fiantrana, iantrana, mahantra, mampiantra, miantra, mifampiantra, mpiantra"
antsa,"anantsana, antsaina, antsaina, antsavina, fañatsana, manantsa"
antsa,"fahantsa, mampahantsa, mihamahantsa"
antsa,"ampiantsa, fampiantsa, fiantsa, fiantsana, fifampiantsa, iantsana, kiantsa, mahaantsa, mahantsa, mampiantsa, miantsa, mifampiantsa, mpiantsa, piantsa, pifampiantsa, voaantsa, voantsa"
antsafa,"mampanantsafa, mampifanantsafa, mifanantsafa"
antsafa,"anantsafana, antsafaina, fanantsafa, fanantsafana, fifanantsafana, mahantsafa, manantsafa, mpanantsafa, voantsafa"
antsaky,antsakina
antsaly,antsalina
antsambo,miantsambo
antsambotra,"antsamborina, mampiantsambotra, mifampiantsambotra"
antsambotra,"fiantsamborana, fiantsambotra, iantsamborana, mahantsambotra, miantsambotra, mpiantsambotra, tafantsambotra"
antsampy,"mampiantsampy, mifampiantsampy"
antsampy,"fiantsampazana, fiantsampy, iantsampazana, iantsampiana, mahatsampy, miantsampy, mpiantsampy, tafantsampy"
antsanga,antsangaina
antsanga,"manantsanga, miantsanga"
antsantsa,
antsasaka,fanantsasahana
antsasaka,"anantsasahana, antsasahina, fanantsasaka, manantsasaka, mantsasaka, mpanantsasaka, voantsasaka"
antsavy,mamontsavy
antsavily,"fiantsavily, fiantsaviliana, iantsaviliana, miantsavily, mpiantsavily"
antsinanana,"fiantsinanana, fiantsinananana, iantsinananana, miantsinanana, mpiantsinanana"
antsiraka,tantsiraka
antso,"fanantso, mampiantso"
antso,"ampanantsoana, antsoantso, antsoina, antsovina, fiantso, fiantsoana, iantsoana, iantsovana, mahantso, miantso, mifampiantso, mpiantso, voantso"
antsoantso,"antsoantsoina, fiantsoantso, fiantsoantsoana, iantsoantsoana, miantsoantso, mpiantsoantso"
antsody,anantsodiavana
antsody,"anantsodiana, antsodina, fanantsody, fanantsodiana, manantsody, mpanantsody, voantsody"
antsohara,"anantsoharana, antsoharaina, fanantsohara, fanantsoharana, manantsohara, mpanantsohara"
antsona,"antsonaina, tafantsona"
antsona,"aantsona, anantsonana, antsonina, fanantsona, fanantsonana, fiantsona, fiantsonana, iantsonana, manantsona, miantsona, mpanantsona, mpiantsona, voantsona"
antsona,"anantsonana, antsonina, manantsona"
antsonantsoña,manantsoñantsoña
antsontsana,"anantsontsanana, manantsontsana"
antsory,"anantsoriana, antsorina, voantsory"
antsoro,
antsoroka,antsorohina
antsorona,"anantsorona, anantsoronana, antsoronina, fanantsoronana, fiantsoroana, fiantsorona, iantsoroana, manantsorona, miantsorona, mpanantsorona, mpiantsorona"
ao,mankao
aody,ampaody
aole,mañaole
aoriana,"aoriandriana, fiaoriana, fiaorianana, iaorianana, mahaoriana, miaoriana, mpiaoriana"
aotra,mpiaotra
aotra,miaotra
apana,apanapana
apanapana,"aapanapana, fiapanapana, fiapanapanana, iapanapanana, mahapanapana, miapanapana, mpiapanapana, tafapanapana"
apoka,apokapoka
apoka,"fiapohana, fiapoka, iapohana, miapoka, mpiapoka, tafapoka"
apokapoka,miapokapoka
ara,"ampañara, fampañara, fañara, mampañara, manara, pañara"
ara,"arana, miara"
ara,arana
arahaba,"ampiarahaba, arahabaina, fampiarahaba, fiarahaba, fiarahabana, fifampiarahaba, fifampiarahabana, ifampiarahabana, maharahaba, mampiarahaba, miarahaba, mifampiarahaba, mpiarahaba, piarahaba, pifampiarahaba, voarahaba"
araka,"arakaraka, fifanarahana, iarahana, iarahana, ifanarahana"
araka,"ampanarahina, ampiarahana, ampiarahina, anarahana, arahina, fampifanarahana, fanarahana, fanaraka, fiarahana, fiaraka, maharaka, mampanaraka, mampifanaraka, manaraka, miaraka, mifanaraka, mpanaraka, mpiaraka, tafaraka, tafiaraka, voaraka"
araka,"fampanarahana, fampiarahana"
arakaly,mañarakaly
arakaraka,mifanarakaraka
arake,"aarake, ampiarake, ampiarake, faarake, fañarake, fiarake, maharake, mampañarake, mampiarake, mampifañarake, mañarake, mifampañarake, mifañarake, mihamiarake, pañarake, piarake, pifañarake, tafarake, voaarake"
arana,"mampanarana, mampifanarana, mifanarana"
arana,"anaranana, aranana, aranina, fanarana, fanaranana, fiarana, fiaranana, iaranana, manarana, miarana, mpanarana, mpiarana, voarana"
are,"aare, fahamarina, mahaare, mampañare, miare, mifampiare, mifañare, mihamiare, pañare, piare, pifañare"
arery,hareriana
ary,"anariana, ariana, ariarina, arikitra, fanary, fanary, fanariana, iariana, miary, voary, voary"
ary,"ahariana, fahary, fahariana, mahary, Mpahary"
ary,mankarỳ
ary,"manary, mifanary, mpanary"
aria,fañaria
arike,"mahamarike, mamparike, mifampimarike, mimarike, voamarike"
arina,"anaremana, fanamarinana, iaremana, mahamarina, mampanarina, mampifanarina, marina, mifanarina"
arina,"ampiarenana, anarenana, arenina, arinarina, fanaremana, fanarenana, fanarina, fiaremana, fiarenana, fiarina, iarenana, maharina, manamarina, manarina, miarina, mpanarina, mpiarina, tafarina, voarina"
arinarina,"kinarinarina, miarinarina"
arira,"anarirana, ariraina, fanarira, fanarirana, fiarira, fiarirana, iarirana, maharira, manarira, miarira, mpanarira, mpiarira, voarira"
aritra,"anaretana, fanaritra, iaretrana, mampanaritra, mihamanaritra"
aritra,"aharetana, aretina, aritraritra, faharetana, fiaretana, fiaritra, iaretana, maharitra, miaritra, mpiaritra"
aritra,"fanaretana, manaritra"
aritraritra,maharitraritra
arivo,"ampañarivo, arivoarivo, faharivo, inarivo, mahapañarivo, mampañarivo, manarivo, mpanarivo, tsiarivoarivo"
aro,"aromby, pañaro"
aro,"aaro, arovana, faaro, fiaro, fiarovana, iarovana, maharo, mampiaro, miaro, mifampiaro, mpiaro, piaro, pifampiaro, voaro"
aroa,aroakatra
aroa,"mankaroa, mbaroa"
aroy,mbaroy
asa,"ampiasaina, ampiasana, asaina, asaina, fanasa, fanasa, fanasana, hiasa, mampiasa, mampifanasa, manasa, manasa, miasa, miasa, mifanasa, mpampiasa, voasa"
asa,"ampiasa, asaina, fampiasa, fampiasana, fiasana, iasana, mahaasa, mahasa, mihamiasa, mpiasa, pampiasa, piasa, voasa"
asa,"anasana, voasa"
asa,anasana
asaha,"asahaina, fanasaha, mahasaha, manasaha, mañasaka"
asara,
asy,iasiana
asy,miasy
asidra,asidraina
atatra,"fiatarana, fiatatra, iatarana, miatatra, mpiatatra"
aty,mankaty
aty,"anaty, mbaty"
aty,anaty
atiaty,"fiatiaty, fiatiatiana, iatiatiana, miatiaty"
atikatika,miatikatika
atike,"mañatike, mbatike"
atitra,"anaterana, aterana, aterina, fanaterana, fanatitra, mahatitra, manatitra, miatitra, mpanatitra, voatitra"
atitse,"fañatitse, mañatitse, pañatitse"
ato,"aoina, iatona, mañato, voato"
ato,"mankato, mbato, tato"
ato,"aato, atoato, atoina, famato, fampiato, fampiatoana, fiato, fiatoana, iatoana, mampiato, miato, mpiato"
atoa,"anatoavana, atoavina, fanatoa, fanatoavana, manatoa, mpanatoa"
atoato,"fiatoato, fiatoatoana, iatoatoana, miatoato, mpiatoato"
atody,"atodibe, atodintariana, mampanatody"
atody,"anatodizana, atodizana, fanatody, fanatodizana, manatody, mpanatody"
atoy,mbatoy
atoka,"aatoka, atokatoka, fatohana, fiatohana, fiatoka, mahatoka, manatoka, miatoka, mpiatoka"
atokatoka,aatokatoka
atoly,"mampañatoly, mañatoly, pañatoly"
atra,manatra
atrana,"atranatrana, atranina, atrefina, voatrana"
atrana,"aatrana, anatranana, fiatrana, fiatranana, iatranana, miatrana, mpiatrana"
atrika,"anatrehana, anatrehana, iatrehana"
atrika,"anatrika, atrehina, atrikatrika, fanatrehana, fanatrika, fiatrehana, fifanatrehana, ifanatrehana, mahatrika, mampanatrika, mampifanatrika, manatrika, miatrika, mpanatrika, sokatrika, voaatrika"
atsa,"miatsa, mpiatsa"
atse,"fiatse, mampiatse, miatse, piatse"
atsy,mankatsy
atsike,"mahaatsike, mampañatsike, mampifañatsike, miatseke, mifampañatsike, mifañatsike, mihaatsike, pañatsike, piatsike"
atsimo,"anatsimo, atsimotsimo, atsinomina, fanatsimo, fanatsinomana, manatsimo, mpanatsimo"
atsinanana,"ahatsinanana, anatsinananana, antsinanana, atsinanananana, atsinananina, fanatsinanana, fanatsinananana, manatsinanana, mpanatsinanana"
ava,"aava, ampiava, avaina, avana, faava, fampiava, fiava, iavana, mahava, mampiava, miava, mpiava, piava, voava"
ava,anava
avaka,"ampiavahana, avakavaka"
avaka,"anavahana, avahana, fanavahana, fanavaka, fiavaka, iavahana, mahavaka, mampiavaka, manavaka, miavaka, mpanavaka, mpiavaka, voaavaka, voavaka"
avakavaka,fanavakavahana
avake,"faavake, kiavake, mahaavake, mampañavake, mampiavake, miavake, mifañavake, mihamiavake, pañavake, piavake, pifañavake, voaavake"
avana,"avanavana, avanavana"
avana,mavana
avanavana,manavanavana
avaratra,"anavaratra, avarabaratra, fianavaratana"
avaratse,"mañavaratse, tavaratse"
ave,"mahave, miave"
avy,"anaviana, fanavy, fanaviana, mampanavy, manavy, mankanavy"
avy,"ampihaviana, aviavy, fiavy, fiaviana, fihavy, fihaviana, iaviana, ihaviana, miavy, mihavy, mpiavy"
avina,"mampanavina, mampifanavina, mifanavina"
avina,"anavenana, avenina, fanavenana, fanavina, mahavina, manavina, mpanavina, voavina"
avo,"haavo, haavo, mampifanavo, mifanavo"
avo,"avoavo, havoana, mampiavo, mifampiavo, mihamiavo, piavo, pifampiavo"
avoana,"anavoanana, avoanina, manavoana"
avoavo,"anavoavoana, avoavoina, fanavoavo, fanavoavoana, fiavoavo, fiavoavoana, iavoavoana, manavoavo, miavoavo, mpanavoavo, mpiavoavo"
avoko,
avona,"avonavona, iavonavonana"
avona,"fiavona, fiavonana, iavonana, miavona, mpiavona"
avonavona,"fiavonavonana, miavonavona"
avonavona,"fiavonavona, mpiavonavona"
avosa,"anavosana, avosaina, fanavosa, favosana, fiavosa, fiavosana, iavosana, manavosa, miavosa, mpanavosa, voavosa"
avotra,"avotana, avotana, fiavotra, manavotra, manavotra, miavotra, miavotra"
avotra,"aavotra, anavotana, avotravotra, fanavotana, fanavotra, fiavotana, iavotana, mahavotra, mampanavotra, mampiavotra, mampifanavotra, mifampiavotra, mifanavotra, mpanavotra, mpiavotra, voavotra"
avotra,"fiavotra, voavotra"
avotry,avota
avotse,"aavotse, mahavotse, mampañavotse, mifañavotse, pañavotse, piavotse, pifampañavotse, pifañavotse, voaavotse"
avovona,"fiavovona, miavovona"
azary,"azarina, voazary"
azo,"fiazoa, mihaazo, pahazo, piazo"
azo,"ahazahoana, ahazoana, ampahazo, fahazahoana, fahazo, fahazoa, fahazoana, fampahazoa, fifankahazoana, fihazo, fihazoana, ihazoana, mahazo, mampahazo, mifankahazo, mpahazo, mpihazo"
ba,"fiba, mibà, mpiba"
baba,mibaba
babababa,"fibabababa, fibabababana, ibabababana, mampibabababa, mibabababa, mpibabababa, pibabababa"
babaka,mibabaka
babarà,mibabarà
babe,"ampibabe, babebabe, fibabe, kibabe, mahababe, mampibabe, mifampibabe, pibabe, pifampibabe, voababe"
baby,"ababy, babena, babena, babiana, babibaby, binaby, fibabena, fibaby, ibabena, kibabibaby, mahababy, mambaby, mampibaby, miambaby, mibaby, mifampibaby, mpibaby, tambaby, tsibabibaby, voababy"
babo,"babontany, mampambabo, mifambabo"
babo,"amaboana, babobabo, baboina, binabo, fahababoana, famabo, famaboana, mahababo, mamabo, mambabo, mifamabo, mpamabo"
baboka,"babobaboka, mahababoka, mpibaboka"
baboka,"ababoka, amabohana, fibabohana, fibaboka, ibabohana, mamaboka, mibaboka"
baboke,"ababoke, fababoke, mampibaboke, mibaboke, pibaboke"
bada,"fibadabada, mpibadabada"
bada,"badabada, badana, mibada, voabada"
badabada,"badabadaina, fibadabadana, ibadabadana, mahabadabada, mibadabada"
badenina,mahabadenina
badiaka,ibadiahana
badiaka,"badiabadiaka, badiahina, mibadiaka"
bado,"anabadoana, badobado, badoina, fanabado, fanabadoana, habadoana, manabado, mpanabado"
badobado,mibadobado
badony,badobadony
bae,"abae, mahabae, mihabae"
bafoka,"abafoka, bafobafoka, fibafohana, fibafoka, ibafohana, mibafoka, mpibafoka"
baha,"abaha, fabaha, mahabaha, mampibaha, mibaha, mifampibaha, pibaha, pifampibaha, voabaha"
bahambahana,mibahambahana
bahana,ibahanana
bahana,"abahana, abahana, bahambahana, bahanina, fibahana, fibahanana, mahabahana, mibahana, mpibahana, tafabahana, voabahana"
bahana,bahanana
bahary,baharia
bahimo,mibahimo
bay,voabay
baibay,baibaizina
baibay,"abaibay, ambaibaizana, ibaibaizana, mambaibay, mibaibay"
baika,"baikabaika, banaika, mampibaika, mifampibaika"
baikabaika,"abaikabaika, baikabaikaina, fibaikabaika, fibaikabaikana, iabaikabaikèna, ibaikabaikana, mahabaikabaika, mibaikabaika, mpibaikabaika"
baiko,"abaiko, ahabaikoana, baikobaiko, baikoina, binaiko, fibaiko, fibaikoana, ibaikoana, mahabaiko, mibaiko, mpibaiko, voabaiko"
bailoka,"abailoka, belohina, beloina, mibailoka"
baingo,"abaingo, baingoina, fibaingo, mibaingo"
baingobaingo,"baingobaingoina, mibaingobaingo"
baingobaingoka,"abaingobaingoka, baingobaingohina"
baingoka,"baingobaingoka, fibaingoka, mibaingoka"
baka,"ambakana, hambakana"
baka,"abaka, anabakana, bakabaka, bakaina, binaka, fanabaka, fanabakana, fibaka, fibakana, ibakana, mahabaka, mambaka, manabaka, mibaka, mpanabaka, sabaka, tafabaka, voabaka"
bakazina,"ibakazinana, mibakazina"
bako,"bakobako, mahabako, mihabako"
bakora,bakorakora
bakoraka,bakorakoraka
bala,amalabalana
bala,"balaina, ibalàna, mibala"
bala,"balabala, balàna, binala, voabala"
balabala,"balabalaina, mamalabala"
balabala,"abalabala, balabalana"
balangony,balangondangony
balelaka,"baleladelaka, mibalelaka"
baliaka,"abaliaka, baliadiaka, ibaliahana, manabaliaka, mibaliaka"
balihaoke,"abalihaoke, fibalihaoke, mampibalihaoke, mañabalihaoke, mibalihaoke, pibalihaoke, voabalihaoke"
balita,balitalita
balitalita,mibalitalita
baloa,mibaloa
bamby,mañabamby
baña,"fahabaña, habañana, mambaña"
bana,"banaina, mahabaña, mihabaña, pibaña"
bana,banabana
banabana,"abanabana, anabanabanana, fanabanabanana, fibanabana, fibanabanana, ibanabanana, mahabanabana, mamanabana, mambanabana, manabanabana, mibanabana, tafabanabana, voabanabana"
banaika,"banainaika, fibanaika, fibanehana, ibanaihana, ibanehana, mibanaika, mpibanaika"
banàka,"abanàka, anabanahana, banahina, fanabanahana, fanabanàka, fibanaka, mahabanàka, manabanaka, mibanaka, tafabanaka, voabanaka"
bandrina,"abandrina, bandribandrina, bandrinina, fibandrina, fibandrinana, ibandrinana, mahabandrina, mibandrina, mpibandrina, voabandrina"
banga,"anabangana, bangaina, binanga, fanabanga, fanabangana, habangana, mahabanga, mambanga, manabanga, mibanga, mpanabanga, voabanga"
bango,"ambangony, bagoina, bangobango, mampambango, mifambango"
bango,mibango
bango,"ambangoana, ampibango, anabangoana, bangoina, binango, fambango, fambangoana, fanabango, fanabangoana, fibango, fibangoana, ibangoana, mahabango, mambango, mampibango, manabango, mibango, mpambango, mpanabango, mpibango, pibango, pifampibango, voabango"
bangoana,"mampibangoana, mifampibangoana"
bangobango,"anabangobangoana, bangobangoina, fanabangobango, fanabangobangoana, manabangobango, mpanabangobango"
banjina,"abanjina, banjimbanjina, banjinina, fibanjina, fibanjinana, ibanjinana, mahabanjina, mampibanjina, mibanjina, mifampibanjina, mpibanjina, tafabanjina, voabanjina"
banty,"manabanty, mibanty, voabanty"
banty,"anabantiana, bantina, fanabanty, fanabantiana, manabanty, mpanabanty"
bara,mibara
bara,"abara, anabarana, barabara, baraina, barana, fanabara, fanabarana, mahabara, manabara, mibara, voabara"
barabadebake,"fibarabadebake, mibarabadebake"
barabay,"abarabay, fibarabay, mamarabay, mampibarabay, mibarabay, pibarabay, voabarabay"
barabara,mibarabara
barabara,mibarabara
barada,mibarada
baradaka,"abaradaka, baradadradaka, baradahina, fibaradahana, fibaradaka, ibaradahana, mibaradaka, mpibaradaka, tafabaradaka"
baraingo,"baraingoina, baraingoraingo"
baraingo,"abaraingo, anabaraingoana, fanabaraingo, fanabaraingoana, fibaraingo, fibaraingoana, ibaraingoana, mahabaraingo, manabaraingo, mibaraingo, voabaraingo"
baraka,voabaraka
barakaika,"abarakaika, ambarakehana, mambarakaika, mibarakaika"
barake,"abarake, fabarake, mampibarake, mibarake, pibarake, voabarake"
barara,"abarara, bararaina, fibarara, fibararana, ibararana, mibarara, mpibarara"
bararaka,fibararaka
bararaka,"ibararahana, mibararàka, mibararàka"
bararaka,"fibararahana, mpibararaka"
barareoka,"abarareoka, barareodreoka, barareohina, fibarareohana, fibarareoka, ibarareohana, mahabarareoka, mibarareoka, mpibarareoka"
baratsaike,"abaratsaike, fibaratsaike, mampibaratsaike, mibaratsaike, pibaratsaike, voabaratsaike"
barazy,"abarazy, fabarazy, mampibarazy, mibarazy, mifampibarazy, pibarazy, pifampibarazy, voabarazy"
barera,"abarera, anabarerana, barerarera, fanabarera, fanabarerana, fibarera, fibarerana, ibarerana, mahabarera, manabarera, mibarera, mihabarera, mpanabarera, mpibarera, voabarera"
bareraka,mibareraka
bary,baribary
bary,"barina, fibary, mampibary, mibary, voabary"
baribary,"abaribary, fibaribary, fibaribariana, ibaribariana, mampibaribary, mibaribary, mpibaribary, tafabaribary, voabaribary"
basy,"ambasy, basibasy, kibasibasy, tsibasibasy, tsimbasibasy, voabasy"
bata,"mampambata, mampibata, mampifambata, mifambata"
bata,"abata, ambatana, batabata, bataina, binata, fambata, fambatana, fibata, fibatana, ibatana, mahabata, mambata, mibata, mifampibata, mpambata, mpibata, voabata"
bata,fabata
batabata,"batabataina, mibatabata"
baty,mibaty
baty,"mahabaty, mamaty, mampibaty, mibaty, mifamaty, mifampibaty, pibaty, voabaty"
batisa,mambatisa
batraka,batrabatraka
batry,batribatry
bazabaza,voabazabaza
be,"ahabeazana, ahabiazana, anabeazana, anabiazana, ankabeazany, ankabiazana, ankabiazany, beazina, bebe, biazina, fanabe, fanabeazana, fanabiazana, fibeazana, habe, habeaza, habiazana, habiazina, ibeazana, kabe, mampañabe, manabe, mankabe, mifañabe, mihabe, mpanabe, pañabe, pifañabe"
bebaka,"mibebaka, tabebaka, tobebaka"
bebaka,"fibebahana, fibebaka, ibebahana, mibebaka, mpibebaka"
bebake,"mampibebake, mibebake"
bebobeboka,"ibebobebohana, mibebobeboka"
beboka,"mahabeboka, mampibeboka, mifambeboka, mifampibeboka"
beda,"ambedana, anabedana, bedaina, bedana, bineda, fambeda, fambedana, fanabeda, fanabedana, fibeda, fibedana, fifampibedana, ibedana, mahabeda, mambeda, manabeda, mibeda, mpambeda, mpameda, mpanabeda, mpibeda, voabeda"
bedabeda,mibedabeda
bedabeda,"bedabedaina, fibedabeda, fibedabedana, ibedabedana, mibedabeda, mpibedabeda, voabedabeda"
bedy,"bedena, bedesina, bedibedy, fibedena, fibedesana, fibedy, ibedena, kabedy, mampibedy, mibedy, mifampibedy, mpibedy, voabedy"
bedibedy,"abedibedy, bedibedena, bedibedesina, fibedibedena, fibedibedesana, fibedibedy, ibedibedena, ibedibedesana, kabedibedy, mahabedibedy, mibedibedy, mpibedibedy"
bedika,"fibedehana, fibedika, ibedehana, mibedika, mpibedika"
behambehana,"abehambehana, anabehambehanana, fanabehambehanana, fibehambehanana, manabehambehana, mibehambehana"
